timestamp,open,high,low,close,volume
2023-06-15,237.89,240.6,234.6,235.99,803850.0
2023-06-14,244.19,252.1,233.73,237.89,1030000.0
2023-06-13,231.29,246.53,228.9,244.19,1300000.0
2023-06-12,235.39,238.79,221.4,231.29,1660000.0
2023-06-11,238.7,239.29,233.64,235.39,430820.0
2023-06-10,260.51,260.7,230.76,238.7,1680000.0
2023-06-09,261.91,264.29,255.91,260.51,536350.0
2023-06-08,259.21,267.2,257.33,261.91,616610.0
2023-06-07,281.1,281.6,254.65,259.21,1240000.0
2023-06-06,277.1,285.6,273.4,281.11,742080.0
2023-06-05,305.1,305.1,272.41,277.1,1140000.0
2023-06-04,306.6,307.6,304.81,305.1,192730.0
2023-06-03,307.3,308.1,305.3,306.6,162090.0
2023-06-02,304.8,308.4,303.5,307.3,309770.0
2023-06-01,306.7,307.5,303.3,304.8,263130.0
2023-05-31,311.4,311.8,305.01,306.7,448980.0
2023-05-30,311.6,314.1,310.9,311.4,299810.0
2023-05-29,314.1,316.9,310.5,311.6,474210.0
2023-05-28,307.4,314.41,306.8,314.1,266780.0
2023-05-27,306.9,307.7,304.1,307.4,150060.0
2023-05-26,304.6,308.4,301.71,306.9,409720.0
2023-05-25,305.9,306.8,302.5,304.6,295390.0
2023-05-24,313.5,313.6,303.81,305.9,302100.0
2023-05-23,309.1,315.3,309.1,313.5,234960.0
2023-05-22,306.41,311.1,304.5,309.1,231130.0
2023-05-21,310.7,311.6,305.83,306.41,149160.0
2023-05-20,308.9,311.9,307.8,310.7,110110.0
2023-05-19,309.4,311.39,307.7,308.9,198260.0
2023-05-18,314.29,314.8,306.21,309.4,245410.0
2023-05-17,311.3,314.3,307.2,314.29,229040.0
2023-05-16,313.4,314.0,309.4,311.3,190080.0
2023-05-15,312.09,316.2,310.7,313.4,208510.0
2023-05-14,310.71,314.7,309.5,312.09,199430.0
2023-05-13,308.6,311.8,307.6,310.71,161150.0
2023-05-12,307.5,309.0,301.3,308.6,339080.0
2023-05-11,314.3,314.41,304.5,307.5,305120.0
2023-05-10,312.2,316.69,308.63,314.3,374690.0
2023-05-09,313.79,315.79,311.2,312.21,272700.0
2023-05-08,320.9,321.99,311.22,313.79,398340.0
2023-05-07,321.9,325.39,320.5,320.9,214880.0
2023-05-06,326.5,328.38,319.59,321.9,288800.0
2023-05-05,323.8,329.09,323.34,326.5,299470.0
2023-05-04,325.9,327.4,323.21,323.8,205930.0
2023-05-03,321.51,327.5,320.6,325.9,631220.0
2023-05-02,328.6,328.6,321.51,321.51,451590.0
2023-05-01,337.58,339.49,326.21,328.6,748760.0
2023-04-30,321.9,338.19,320.41,337.58,735130.0
2023-04-29,324.0,324.7,321.3,321.9,236600.0
2023-04-28,330.7,330.79,319.0,324.1,1020000.0
2023-04-27,330.5,336.39,328.71,330.7,500350.0
2023-04-26,338.39,344.9,323.86,330.5,700740.0
2023-04-25,331.1,339.8,328.6,338.39,452970.0
2023-04-24,330.6,333.7,328.09,331.1,457100.0
2023-04-23,332.08,332.39,327.4,330.7,397910.0
2023-04-22,321.3,333.09,319.9,332.08,396600.0
2023-04-21,318.09,332.57,315.82,321.3,948480.0
2023-04-20,322.4,326.7,315.5,318.09,385170.0
2023-04-19,343.0,343.7,320.39,322.4,562930.0
2023-04-18,340.0,346.48,337.2,343.0,407350.0
2023-04-17,347.7,350.0,337.71,340.0,578690.0
2023-04-16,333.0,349.91,330.2,347.7,656260.0
2023-04-15,328.81,335.9,327.01,333.0,433130.0
2023-04-14,324.6,335.31,323.41,328.8,705880.0
2023-04-13,319.9,324.8,317.81,324.6,359080.0
2023-04-12,322.21,323.21,316.81,319.8,368200.0
2023-04-11,318.59,333.0,317.8,322.21,686320.0
2023-04-10,312.8,318.59,311.7,318.59,280320.0
2023-04-09,310.5,313.5,309.7,312.8,170370.0
2023-04-08,310.4,312.69,310.2,310.5,173420.0
2023-04-07,312.29,312.7,309.8,310.4,187970.0
2023-04-06,314.0,314.8,310.7,312.19,243250.0
2023-04-05,310.8,316.69,310.3,314.0,332010.0
2023-04-04,308.6,312.48,308.2,310.8,320390.0
2023-04-03,313.81,314.1,299.91,308.6,474360.0
2023-04-02,314.9,316.11,311.09,313.81,157050.0
2023-04-01,317.1,318.6,313.2,314.9,192470.0
2023-03-31,316.4,319.7,313.61,317.1,278300.0
2023-03-30,313.8,318.55,309.38,316.4,516970.0
2023-03-29,313.3,319.69,312.4,313.8,346410.0
2023-03-28,310.51,315.59,306.9,313.3,346990.0
2023-03-27,328.5,329.6,306.1,310.7,605700.0
2023-03-26,322.5,329.38,321.7,328.6,215410.0
2023-03-25,321.99,324.8,319.15,322.5,331440.0
2023-03-24,329.31,329.99,317.3,321.81,328260.0
2023-03-23,321.2,331.8,319.2,329.31,402490.0
2023-03-22,334.31,339.29,316.51,321.2,1320000.0
2023-03-21,332.4,339.79,327.31,334.31,493620.0
2023-03-20,336.57,338.99,331.69,332.4,533290.0
2023-03-19,331.01,341.2,330.8,336.57,420670.0
2023-03-18,338.88,345.99,329.14,331.01,688760.0
2023-03-17,329.39,339.89,326.09,338.88,755890.0
2023-03-16,306.3,332.4,303.01,329.39,1300000.0
2023-03-15,308.59,312.69,300.52,306.3,433500.0
2023-03-14,307.89,319.18,302.2,308.59,735130.0
2023-03-13,287.99,312.59,286.3,307.8,1040000.0
2023-03-12,275.99,288.11,273.41,287.99,332200.0
2023-03-11,277.48,281.58,270.6,275.9,390550.0
2023-03-10,277.02,278.0,265.31,277.48,426680.0
2023-03-09,286.99,291.29,271.44,277.49,339220.0
2023-03-08,289.3,293.89,285.21,286.99,273960.0
2023-03-07,287.9,290.4,283.63,289.3,213080.0
2023-03-06,288.8,289.7,283.61,287.9,215630.0
2023-03-05,289.49,292.7,287.41,288.71,136200.0
2023-03-04,290.4,291.4,286.01,289.49,134850.0
2023-03-03,299.8,300.0,287.22,290.4,280690.0
2023-03-02,302.7,303.7,295.9,299.8,209770.0
2023-03-01,301.4,306.39,300.6,302.7,211180.0
2023-02-28,304.7,305.6,300.11,301.39,196890.0
2023-02-27,308.69,309.4,300.7,304.7,244630.0
2023-02-26,302.4,309.6,300.71,308.7,158940.0
2023-02-25,302.29,303.0,296.39,302.4,187880.0
2023-02-24,308.3,311.9,298.91,302.29,342010.0
2023-02-23,312.7,314.99,305.9,308.3,313710.0
2023-02-22,311.5,312.8,303.69,312.7,383410.0
2023-02-21,315.4,317.19,309.5,311.5,400360.0
2023-02-20,311.42,319.6,308.6,315.4,531110.0
2023-02-19,316.5,318.59,311.0,312.19,348890.0
2023-02-18,313.1,318.88,313.1,316.5,294040.0
2023-02-17,304.41,317.08,303.19,313.1,529230.0
2023-02-16,317.5,327.09,304.11,304.41,891630.0
2023-02-15,296.2,317.59,294.11,317.5,483430.0
2023-02-14,294.31,301.26,289.9,296.2,515799.99999999994
2023-02-13,312.6,315.3,283.0,294.31,1110000.0
2023-02-12,310.5,320.79,306.29,312.6,304930.0
2023-02-11,305.8,311.29,305.2,310.31,161930.0
2023-02-10,306.19,309.1,302.8,305.89,308560.0
2023-02-09,328.2,329.2,303.27,306.19,584310.0
2023-02-08,333.1,335.67,323.8,328.2,295990.0
2023-02-07,324.1,333.6,323.42,333.1,276960.0
2023-02-06,327.7,331.19,321.41,324.1,299440.0
2023-02-05,330.4,337.59,324.21,327.7,406980.0
2023-02-04,332.2,334.0,327.21,330.4,213940.0
2023-02-03,322.7,335.0,318.6,332.2,585500.0
2023-02-02,316.9,334.1,316.4,322.7,594260.0
2023-02-01,312.11,319.3,305.82,316.9,401160.0
2023-01-31,307.1,314.0,305.4,312.11,286170.0
2023-01-30,317.19,320.7,302.71,307.1,417430.0
2023-01-29,306.1,320.4,304.9,317.29,442710.0
2023-01-28,307.99,313.39,303.81,306.3,237850.0
2023-01-27,304.9,310.4,299.41,307.99,279350.0
